Results for 'chronograph/samples/english'
Thread count: 1 | Seconds: 412.483
Thread count: 2 | Seconds: 207.229
Thread count: 3 | Seconds: 144.589
Thread count: 4 | Seconds: 109.864
Thread count: 5 | Seconds: 90.055
Thread count: 6 | Seconds: 76.68
Thread count: 7 | Seconds: 68.3667
Thread count: 8 | Seconds: 59.639
Thread count: 9 | Seconds: 55.274
Thread count: 10 | Seconds: 50.6827
Thread count: 11 | Seconds: 47.2237
Thread count: 12 | Seconds: 43.4653
Thread count: 13 | Seconds: 42.342
Thread count: 14 | Seconds: 40.6287
Thread count: 15 | Seconds: 38.349
Thread count: 16 | Seconds: 39.2717
Thread count: 17 | Seconds: 38.1213
Thread count: 18 | Seconds: 37.5643
Thread count: 19 | Seconds: 37.4153
Thread count: 20 | Seconds: 36.3347
Thread count: 21 | Seconds: 34.806
Thread count: 22 | Seconds: 33.6097
Thread count: 23 | Seconds: 32.5703
Thread count: 24 | Seconds: 31.774
Thread count: 25 | Seconds: 31.1797
Thread count: 26 | Seconds: 30.232
Thread count: 27 | Seconds: 30.218
Thread count: 28 | Seconds: 29.5353
