Results for 'small_dna'
Thread count: 1 | Seconds: 0.08684
Thread count: 2 | Seconds: 0.05084
Thread count: 3 | Seconds: 0.0377
Thread count: 4 | Seconds: 0.03501
Thread count: 5 | Seconds: 0.02987
Thread count: 6 | Seconds: 0.02933
Thread count: 7 | Seconds: 0.03122
Thread count: 8 | Seconds: 0.03573
Thread count: 9 | Seconds: 0.04129
Thread count: 10 | Seconds: 0.04624
Thread count: 11 | Seconds: 0.05282
Thread count: 12 | Seconds: 0.05808
Thread count: 13 | Seconds: 0.06144
Thread count: 14 | Seconds: 0.06801
Thread count: 15 | Seconds: 0.07643
Thread count: 16 | Seconds: 0.08491
Thread count: 17 | Seconds: 0.09139
Thread count: 18 | Seconds: 0.10166
Thread count: 19 | Seconds: 0.10956
Thread count: 20 | Seconds: 0.11417
Thread count: 21 | Seconds: 0.11231
Thread count: 22 | Seconds: 0.12198
Thread count: 23 | Seconds: 0.12571
Thread count: 24 | Seconds: 0.13683
Thread count: 25 | Seconds: 0.14588
Thread count: 26 | Seconds: 0.1478
Thread count: 27 | Seconds: 0.15454
Thread count: 28 | Seconds: 0.14988
