Results for 'chronograph/samples/dna'
Thread count: 1 | Seconds: 71.9647
Thread count: 2 | Seconds: 42.2757
Thread count: 3 | Seconds: 28.5107
Thread count: 4 | Seconds: 22.987
Thread count: 5 | Seconds: 17.0233
Thread count: 6 | Seconds: 14.7773
Thread count: 7 | Seconds: 13.4347
Thread count: 8 | Seconds: 12.2543
Thread count: 9 | Seconds: 11.5267
Thread count: 10 | Seconds: 10.8603
Thread count: 11 | Seconds: 10.3417
Thread count: 12 | Seconds: 9.885
Thread count: 13 | Seconds: 9.683
Thread count: 14 | Seconds: 9.43733
Thread count: 15 | Seconds: 9.14333
Thread count: 16 | Seconds: 9.41033
Thread count: 17 | Seconds: 9.40833
Thread count: 18 | Seconds: 9.35933
Thread count: 19 | Seconds: 9.24533
Thread count: 20 | Seconds: 9.30367
Thread count: 21 | Seconds: 8.94233
Thread count: 22 | Seconds: 8.93033
Thread count: 23 | Seconds: 8.778
Thread count: 24 | Seconds: 8.70633
Thread count: 25 | Seconds: 8.50233
Thread count: 26 | Seconds: 8.52967
Thread count: 27 | Seconds: 8.26733
Thread count: 28 | Seconds: 8.157
