Results for 'chronograph/samples/dna'
Threads: 1 | Sort Type B*: 79.5493s | Construct SA: 18.63s | Divsufsort: 98.1792s
Threads: 2 | Sort Type B*: 49.2985s | Construct SA: 11.205s | Divsufsort: 60.5035s
Threads: 3 | Sort Type B*: 37.551s | Construct SA: 8.11275s | Divsufsort: 45.6638s
Threads: 4 | Sort Type B*: 30.3837s | Construct SA: 6.1955s | Divsufsort: 36.5793s
Threads: 5 | Sort Type B*: 22.7218s | Construct SA: 4.95425s | Divsufsort: 27.676s
Threads: 6 | Sort Type B*: 19.9668s | Construct SA: 3.8685s | Divsufsort: 23.8352s
Threads: 7 | Sort Type B*: 18.7965s | Construct SA: 3.61825s | Divsufsort: 22.4148s
Threads: 8 | Sort Type B*: 17.3155s | Construct SA: 3.11975s | Divsufsort: 20.4352s
Threads: 9 | Sort Type B*: 16.2832s | Construct SA: 2.795s | Divsufsort: 19.0783s
Threads: 10 | Sort Type B*: 15.0358s | Construct SA: 2.58475s | Divsufsort: 17.6205s
Threads: 11 | Sort Type B*: 13.998s | Construct SA: 2.3885s | Divsufsort: 16.3865s
Threads: 12 | Sort Type B*: 14.007s | Construct SA: 2.21225s | Divsufsort: 16.2192s
Threads: 13 | Sort Type B*: 13.848s | Construct SA: 2.22525s | Divsufsort: 16.0733s
Threads: 14 | Sort Type B*: 12.9735s | Construct SA: 1.94825s | Divsufsort: 14.9217s
Threads: 15 | Sort Type B*: 12.965s | Construct SA: 1.95475s | Divsufsort: 14.9198s
Threads: 16 | Sort Type B*: 12.0425s | Construct SA: 1.85s | Divsufsort: 13.8925s
Threads: 17 | Sort Type B*: 12.1045s | Construct SA: 1.754s | Divsufsort: 13.8585s
Threads: 18 | Sort Type B*: 11.7637s | Construct SA: 1.73025s | Divsufsort: 13.494s
Threads: 19 | Sort Type B*: 11.7477s | Construct SA: 1.73s | Divsufsort: 13.4778s
Threads: 20 | Sort Type B*: 11.6715s | Construct SA: 1.5175s | Divsufsort: 13.189s
Threads: 21 | Sort Type B*: 11.3183s | Construct SA: 1.50175s | Divsufsort: 12.82s
Threads: 22 | Sort Type B*: 11.0207s | Construct SA: 1.52525s | Divsufsort: 12.546s
Threads: 23 | Sort Type B*: 10.6933s | Construct SA: 1.49975s | Divsufsort: 12.193s
Threads: 24 | Sort Type B*: 10.585s | Construct SA: 1.43475s | Divsufsort: 12.0198s
Threads: 25 | Sort Type B*: 10.9887s | Construct SA: 1.44725s | Divsufsort: 12.436s
Threads: 26 | Sort Type B*: 10.871s | Construct SA: 1.34475s | Divsufsort: 12.2157s
Threads: 27 | Sort Type B*: 10.3067s | Construct SA: 1.31475s | Divsufsort: 11.6215s
Threads: 28 | Sort Type B*: 10.3343s | Construct SA: 1.25625s | Divsufsort: 11.5905s
