Results for 'chronograph/samples/english'
Threads: 1 | Sort Type B*: 579.345s | Construct SA: 41.745s | Divsufsort: 621.09s
Threads: 2 | Sort Type B*: 359.525s | Construct SA: 26.9028s | Divsufsort: 386.428s
Threads: 3 | Sort Type B*: 257.939s | Construct SA: 20.241s | Divsufsort: 278.18s
Threads: 4 | Sort Type B*: 189.013s | Construct SA: 15.6088s | Divsufsort: 204.621s
Threads: 5 | Sort Type B*: 156.171s | Construct SA: 13.0907s | Divsufsort: 169.262s
Threads: 6 | Sort Type B*: 130.104s | Construct SA: 10.8712s | Divsufsort: 140.975s
Threads: 7 | Sort Type B*: 115.957s | Construct SA: 9.93225s | Divsufsort: 125.889s
Threads: 8 | Sort Type B*: 99.0345s | Construct SA: 8.8465s | Divsufsort: 107.881s
Threads: 9 | Sort Type B*: 90.7348s | Construct SA: 7.99825s | Divsufsort: 98.733s
Threads: 10 | Sort Type B*: 81.0855s | Construct SA: 7.3s | Divsufsort: 88.3855s
Threads: 11 | Sort Type B*: 74.7327s | Construct SA: 6.88975s | Divsufsort: 81.6225s
Threads: 12 | Sort Type B*: 68.9075s | Construct SA: 6.206s | Divsufsort: 75.1135s
Threads: 13 | Sort Type B*: 64.6465s | Construct SA: 6.02625s | Divsufsort: 70.6727s
Threads: 14 | Sort Type B*: 61.5973s | Construct SA: 5.621s | Divsufsort: 67.2182s
Threads: 15 | Sort Type B*: 58.5307s | Construct SA: 5.345s | Divsufsort: 63.8757s
Threads: 16 | Sort Type B*: 54.1373s | Construct SA: 5.0375s | Divsufsort: 59.1748s
Threads: 17 | Sort Type B*: 51.416s | Construct SA: 4.81375s | Divsufsort: 56.2298s
Threads: 18 | Sort Type B*: 48.9427s | Construct SA: 4.594s | Divsufsort: 53.5367s
Threads: 19 | Sort Type B*: 47.9507s | Construct SA: 4.53925s | Divsufsort: 52.49s
Threads: 20 | Sort Type B*: 45.5195s | Construct SA: 4.3115s | Divsufsort: 49.831s
Threads: 21 | Sort Type B*: 44.4338s | Construct SA: 4.1555s | Divsufsort: 48.5892s
Threads: 22 | Sort Type B*: 42.1163s | Construct SA: 3.99525s | Divsufsort: 46.1115s
Threads: 23 | Sort Type B*: 41.114s | Construct SA: 3.8605s | Divsufsort: 44.9745s
Threads: 24 | Sort Type B*: 39.5015s | Construct SA: 3.73475s | Divsufsort: 43.2362s
Threads: 25 | Sort Type B*: 39.0795s | Construct SA: 3.65s | Divsufsort: 42.7295s
Threads: 26 | Sort Type B*: 37.935s | Construct SA: 3.56975s | Divsufsort: 41.5048s
Threads: 27 | Sort Type B*: 37.577s | Construct SA: 3.54625s | Divsufsort: 41.1232s
Threads: 28 | Sort Type B*: 36.6487s | Construct SA: 3.37275s | Divsufsort: 40.0215s
