Results for 'samples/small_dna'
Threads: 1 | Sort Type B*: 0.14604s | Construct SA: 0.0363s | Divsufsort: 0.18234s
Threads: 2 | Sort Type B*: 0.08398s | Construct SA: 0.01856s | Divsufsort: 0.10254s
Threads: 3 | Sort Type B*: 0.06002s | Construct SA: 0.01312s | Divsufsort: 0.07314s
Threads: 4 | Sort Type B*: 0.05686s | Construct SA: 0.01116s | Divsufsort: 0.06802s
Threads: 5 | Sort Type B*: 0.04764s | Construct SA: 0.01202s | Divsufsort: 0.05966s
Threads: 6 | Sort Type B*: 0.04846s | Construct SA: 0.01096s | Divsufsort: 0.05942s
Threads: 7 | Sort Type B*: 0.04874s | Construct SA: 0.0104s | Divsufsort: 0.05914s
Threads: 8 | Sort Type B*: 0.0519s | Construct SA: 0.01014s | Divsufsort: 0.06204s
Threads: 9 | Sort Type B*: 0.06298s | Construct SA: 0.0142s | Divsufsort: 0.07718s
Threads: 10 | Sort Type B*: 0.07076s | Construct SA: 0.01544s | Divsufsort: 0.0862s
Threads: 11 | Sort Type B*: 0.0785s | Construct SA: 0.0148s | Divsufsort: 0.0933s
Threads: 12 | Sort Type B*: 0.08224s | Construct SA: 0.01636s | Divsufsort: 0.0986s
Threads: 13 | Sort Type B*: 0.09086s | Construct SA: 0.01648s | Divsufsort: 0.10734s
Threads: 14 | Sort Type B*: 0.10006s | Construct SA: 0.01712s | Divsufsort: 0.11718s
Threads: 15 | Sort Type B*: 0.10448s | Construct SA: 0.01712s | Divsufsort: 0.1216s
Threads: 16 | Sort Type B*: 0.11672s | Construct SA: 0.0204s | Divsufsort: 0.13712s
Threads: 17 | Sort Type B*: 0.12752s | Construct SA: 0.01928s | Divsufsort: 0.1468s
Threads: 18 | Sort Type B*: 0.13266s | Construct SA: 0.02184s | Divsufsort: 0.1545s
Threads: 19 | Sort Type B*: 0.14094s | Construct SA: 0.02262s | Divsufsort: 0.16356s
Threads: 20 | Sort Type B*: 0.14918s | Construct SA: 0.02206s | Divsufsort: 0.17124s
Threads: 21 | Sort Type B*: 0.15566s | Construct SA: 0.02464s | Divsufsort: 0.1803s
Threads: 22 | Sort Type B*: 0.15086s | Construct SA: 0.02412s | Divsufsort: 0.17498s
Threads: 23 | Sort Type B*: 0.16398s | Construct SA: 0.02346s | Divsufsort: 0.18744s
Threads: 24 | Sort Type B*: 0.1739s | Construct SA: 0.02698s | Divsufsort: 0.20088s
Threads: 25 | Sort Type B*: 0.18494s | Construct SA: 0.03004s | Divsufsort: 0.21498s
Threads: 26 | Sort Type B*: 0.19936s | Construct SA: 0.02952s | Divsufsort: 0.22888s
Threads: 27 | Sort Type B*: 0.20212s | Construct SA: 0.03252s | Divsufsort: 0.23464s
Threads: 28 | Sort Type B*: 0.19394s | Construct SA: 0.03168s | Divsufsort: 0.22562s
